"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","GRD.NGDPD.A","OBS_VALUE","Grenada","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.123","1.231","1.324","1.393","1.479"
"IMF.RES:WEO(6.0.0)","GHA.GGXCNL_NGDP.A","OBS_VALUE","Ghana","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-12.03","-11.76","-3.55","-4.721","-3.735"
"IMF.RES:WEO(6.0.0)","DEU.GGXCNL_NGDP.A","OBS_VALUE","Germany","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.167","-2.147","-2.569","-2.003","-1.683"
"IMF.RES:WEO(6.0.0)","GHA.NGDPD.A","OBS_VALUE","Ghana","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","79.599","73.956","76.402","75.307","75.761"
"IMF.RES:WEO(6.0.0)","GRC.GGXCNL_NGDP.A","OBS_VALUE","Greece","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.507","-2.489","-0.91","-1.007","-0.949"
"IMF.RES:WEO(6.0.0)","GNB.NGDPD.A","OBS_VALUE","Guinea-Bissau","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.722","1.721","2.005","2.188","2.355"
"IMF.RES:WEO(6.0.0)","GUY.GGXCNL_NGDP.A","OBS_VALUE","Guyana","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.282","-5.178","-5.739","-6.235","-2.317"
"IMF.RES:WEO(6.0.0)","HTI.NGDPD.A","OBS_VALUE","Haiti","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","21.017","19.826","19.603","26.274","30.57"
"IMF.RES:WEO(6.0.0)","GUY.NGDPD.A","OBS_VALUE","Guyana","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","7.662","14.529","17.05","23.033","24.483"
"IMF.RES:WEO(6.0.0)","GTM.NGDPD.A","OBS_VALUE","Guatemala","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","86.467","95.631","104.436","112.369","120.964"
"IMF.RES:WEO(6.0.0)","GNB.GGXCNL_NGDP.A","OBS_VALUE","Guinea-Bissau","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.882","-6.056","-8.152","-3.79","-3.007"
"IMF.RES:WEO(6.0.0)","GTM.GGXCNL_NGDP.A","OBS_VALUE","Guatemala","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.162","-1.695","-1.251","-1.092","-2.046"
"IMF.RES:WEO(6.0.0)","GRD.GGXCNL_NGDP.A","OBS_VALUE","Grenada","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.326","0.924","7.981","1.732","-7.522"
"IMF.RES:WEO(6.0.0)","HUN.GGXCNL_NGDP.A","OBS_VALUE","Hungary","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.155","-6.228","-6.692","-4.952","-4.596"
"IMF.RES:WEO(6.0.0)","ISL.GGXCNL_NGDP.A","OBS_VALUE","Iceland","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-8.46","-3.983","-1.987","-3.106","-1.134"
"IMF.RES:WEO(6.0.0)","HND.NGDPD.A","OBS_VALUE","Honduras","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","27.95","31.233","34.229","36.735","38.983"
"IMF.RES:WEO(6.0.0)","HTI.GGXCNL_NGDP.A","OBS_VALUE","Haiti","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.347","-1.754","0.902","7.073","0.044"
"IMF.RES:WEO(6.0.0)","HND.GGXCNL_NGDP.A","OBS_VALUE","Honduras","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.177","1.665","-1.032","-1.515","-1.594"
"IMF.RES:WEO(6.0.0)","ITA.NGDPD.A","OBS_VALUE","Italy","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2180.657","2104.65","2301.603","2376.51","2459.597"
"IMF.RES:WEO(6.0.0)","HKG.NGDPD.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","368.954","358.681","380.812","401.751","422.057"
"IMF.RES:WEO(6.0.0)","HUN.NGDPD.A","OBS_VALUE","Hungary","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","182.11","177.788","212.464","228.806","245.619"
"IMF.RES:WEO(6.0.0)","HKG.GGXCNL_NGDP.A","OBS_VALUE","Hong Kong Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.008","-6.575","-5.653","-4.461","-2.465"
"IMF.RES:WEO(6.0.0)","IRQ.NGDPD.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","210.753","288.059","252.407","264.149","270.874"
"IMF.RES:WEO(6.0.0)","IDN.GGXCNL_NGDP.A","OBS_VALUE","Indonesia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.405","-2.191","-1.613","-2.662","-2.539"
"IMF.RES:WEO(6.0.0)","IND.GGXCNL_NGDP.A","OBS_VALUE","India","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-9.268","-9.195","-8.32","-7.782","-7.562"
"IMF.RES:WEO(6.0.0)","IRN.GGXCNL_NGDP.A","OBS_VALUE","Iran, Islamic Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.197","-2.81","-2.751","-3.085","-3.387"
"IMF.RES:WEO(6.0.0)","IRN.NGDPD.A","OBS_VALUE","Iran, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","289.294","376.254","372.82","434.243","463.747"
"IMF.RES:WEO(6.0.0)","IRQ.GGXCNL_NGDP.A","OBS_VALUE","Iraq","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.377","8.098","-1.224","-5.005","-8.168"
"IMF.RES:WEO(6.0.0)","ISL.NGDPD.A","OBS_VALUE","Iceland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","25.825","28.77","31.325","32.919","35.378"
"IMF.RES:WEO(6.0.0)","IDN.NGDPD.A","OBS_VALUE","Indonesia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1186.51","1319.076","1371.171","1402.59","1492.618"
"IMF.RES:WEO(6.0.0)","IND.NGDPD.A","OBS_VALUE","India","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3167.271","3353.471","3567.552","3889.13","4271.922"
"IMF.RES:WEO(6.0.0)","JAM.NGDPD.A","OBS_VALUE","Jamaica","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.674","17.003","19.315","20.586","21.586"
"IMF.RES:WEO(6.0.0)","ISR.GGXCNL_NGDP.A","OBS_VALUE","Israel","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.376","0.443","-4.838","-9.042","-5.443"
"IMF.RES:WEO(6.0.0)","KIR.NGDPD.A","OBS_VALUE","Kiribati","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.29","0.271","0.279","0.312","0.333"
"IMF.RES:WEO(6.0.0)","ITA.GGXCNL_NGDP.A","OBS_VALUE","Italy","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-8.854","-8.091","-7.177","-3.995","-3.792"
"IMF.RES:WEO(6.0.0)","IRL.GGXCNL_NGDP.A","OBS_VALUE","Ireland","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.466","1.583","1.539","3.757","0.838"
"IMF.RES:WEO(6.0.0)","IRL.NGDPD.A","OBS_VALUE","Ireland","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","531.66","549.003","551.554","560.566","587.225"
"IMF.RES:WEO(6.0.0)","ISR.NGDPD.A","OBS_VALUE","Israel","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","492.596","527.694","513.611","528.067","550.905"
"IMF.RES:WEO(6.0.0)","KEN.GGXCNL_NGDP.A","OBS_VALUE","Kenya","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.196","-6.057","-5.759","-5.037","-4.281"
"IMF.RES:WEO(6.0.0)","KIR.GGXCNL_NGDP.A","OBS_VALUE","Kiribati","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-10.615","-18.253","-2.487","-22.388","-14.927"
"IMF.RES:WEO(6.0.0)","JPN.GGXCNL_NGDP.A","OBS_VALUE","Japan","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.098","-4.375","-4.215","-6.094","-3.019"
"IMF.RES:WEO(6.0.0)","JPN.NGDPD.A","OBS_VALUE","Japan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5039.9","4271.933","4219.828","4070.094","4389.326"
"IMF.RES:WEO(6.0.0)","JAM.GGXCNL_NGDP.A","OBS_VALUE","Jamaica","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.918","0.283","0.039","0.291","0.063"
"IMF.RES:WEO(6.0.0)","KAZ.NGDPD.A","OBS_VALUE","Kazakhstan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","197.112","225.529","263.372","292.553","306.629"
"IMF.RES:WEO(6.0.0)","JOR.GGXCNL_NGDP.A","OBS_VALUE","Jordan","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-7.461","-6.95","-7.205","-7.552","-5.516"
"IMF.RES:WEO(6.0.0)","JOR.NGDPD.A","OBS_VALUE","Jordan","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","46.362","48.722","50.885","53.305","56.113"
"IMF.RES:WEO(6.0.0)","KWT.GGXCNL_NGDP.A","OBS_VALUE","Kuwait","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","8.471","30.406","29.918","25.56","25.344"
"IMF.RES:WEO(6.0.0)","KOR.NGDPD.A","OBS_VALUE","Korea, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1942.314","1799.363","1839.058","1869.916","1947.133"
"IMF.RES:WEO(6.0.0)","KWT.NGDPD.A","OBS_VALUE","Kuwait","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","148.455","183.977","163.716","161.822","161.95"
"IMF.RES:WEO(6.0.0)","KEN.NGDPD.A","OBS_VALUE","Kenya","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","109.875","114.733","108.747","116.321","116.662"
"IMF.RES:WEO(6.0.0)","KGZ.NGDPD.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","9.256","12.269","13.993","15.774","17.382"
"IMF.RES:WEO(6.0.0)","KAZ.GGXCNL_NGDP.A","OBS_VALUE","Kazakhstan, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.966","0.105","-1.508","-2.333","-2.25"
"IMF.RES:WEO(6.0.0)","LAO.NGDPD.A","OBS_VALUE","Lao People's Democratic Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","18.533","15.121","14.943","14.949","14.44"
"IMF.RES:WEO(6.0.0)","LVA.NGDPD.A","OBS_VALUE","Latvia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","39.469","40.454","43.64","45.521","48.164"
"IMF.RES:WEO(6.0.0)","LVA.GGXCNL_NGDP.A","OBS_VALUE","Latvia, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.532","-3.709","-3.527","-3.442","-2.884"
"IMF.RES:WEO(6.0.0)","KGZ.GGXCNL_NGDP.A","OBS_VALUE","Kyrgyz Republic","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.707","-0.294","1.787","0.499","-1.324"
"IMF.RES:WEO(6.0.0)","KOS.NGDPD.A","OBS_VALUE","Kosovo, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","9.418","9.375","10.44","11.172","11.839"
"IMF.RES:WEO(6.0.0)","LAO.GGXCNL_NGDP.A","OBS_VALUE","Lao People's Democratic Republic","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.669","0.059","0.688","-0.499","-0.106"
"IMF.RES:WEO(6.0.0)","KOR.GGXCNL_NGDP.A","OBS_VALUE","Korea, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.019","-1.492","-0.671","-0.526","-0.102"
"IMF.RES:WEO(6.0.0)","KOS.GGXCNL_NGDP.A","OBS_VALUE","Kosovo, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.244","-0.74","-0.237","-1.304","-2.115"
"IMF.RES:WEO(6.0.0)","LSO.GGXCNL_NGDP.A","OBS_VALUE","Lesotho, Kingdom of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.385","-5.473","9.235","5.163","5.865"
"IMF.RES:WEO(6.0.0)","LBR.GGXCNL_NGDP.A","OBS_VALUE","Liberia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.504","-5.332","-7.071","-2.431","-3.503"
"IMF.RES:WEO(6.0.0)","LBY.GGXCNL_NGDP.A","OBS_VALUE","Libya","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","14.828","23.595","8.216","-4.781","-2.105"
"IMF.RES:WEO(6.0.0)","LBN.GGXCNL_NGDP.A","OBS_VALUE","Lebanon","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.666","-6.555","-0.393","",""
"IMF.RES:WEO(6.0.0)","LBR.NGDPD.A","OBS_VALUE","Liberia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","3.509","3.974","4.39","4.756","5.051"
"IMF.RES:WEO(6.0.0)","LBN.NGDPD.A","OBS_VALUE","Lebanon","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19.782","24.524","24.023","",""
"IMF.RES:WEO(6.0.0)","LSO.NGDPD.A","OBS_VALUE","Lesotho, Kingdom of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.427","2.267","2.211","2.297","2.424"
"IMF.RES:WEO(6.0.0)","MWI.NGDPD.A","OBS_VALUE","Malawi","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.475","12.531","12.674","10.844","10.784"
"IMF.RES:WEO(6.0.0)","MAC.NGDPD.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","30.969","24.464","47.061","53.447","59.274"
"IMF.RES:WEO(6.0.0)","MAC.GGXCNL_NGDP.A","OBS_VALUE","Macao Special Administrative Region, People's Republic of China","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-12.891","-37.726","-8.883","1.997","12.712"
"IMF.RES:WEO(6.0.0)","MDG.NGDPD.A","OBS_VALUE","Madagascar, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.555","15.135","15.79","17.212","18.104"
"IMF.RES:WEO(6.0.0)","LUX.NGDPD.A","OBS_VALUE","Luxembourg","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","85.641","81.706","85.78","91.21","96.993"
"IMF.RES:WEO(6.0.0)","LTU.NGDPD.A","OBS_VALUE","Lithuania, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","66.865","71.134","77.844","82.789","87.981"
"IMF.RES:WEO(6.0.0)","LUX.GGXCNL_NGDP.A","OBS_VALUE","Luxembourg","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.541","-0.35","-1.252","-1.301","-1.631"
"IMF.RES:WEO(6.0.0)","LTU.GGXCNL_NGDP.A","OBS_VALUE","Lithuania, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-0.982","-0.652","-0.809","-1.608","-1.496"
"IMF.RES:WEO(6.0.0)","LBY.NGDPD.A","OBS_VALUE","Libya","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","35.216","43.281","43.958","44.812","47.998"
"IMF.RES:WEO(6.0.0)","MYS.NGDPD.A","OBS_VALUE","Malaysia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","373.785","407.606","399.705","439.748","488.25"
"IMF.RES:WEO(6.0.0)","MWI.GGXCNL_NGDP.A","OBS_VALUE","Malawi","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-8.342","-9.321","-9.154","-8.026","-5.625"
"IMF.RES:WEO(6.0.0)","MLI.NGDPD.A","OBS_VALUE","Mali","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19.786","18.322","20.21","21.653","23.214"
"IMF.RES:WEO(6.0.0)","MDV.NGDPD.A","OBS_VALUE","Maldives","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.242","6.161","6.573","6.984","7.641"
"IMF.RES:WEO(6.0.0)","MDV.GGXCNL_NGDP.A","OBS_VALUE","Maldives","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-14.179","-11.17","-12.787","-17.877","-14.888"
"IMF.RES:WEO(6.0.0)","MDG.GGXCNL_NGDP.A","OBS_VALUE","Madagascar, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.789","-5.529","-4.132","-3.759","-3.806"
"IMF.RES:WEO(6.0.0)","MYS.GGXCNL_NGDP.A","OBS_VALUE","Malaysia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.032","-4.808","-4.552","-3.594","-3.492"
"IMF.RES:WEO(6.0.0)","MEX.NGDPD.A","OBS_VALUE","Mexico","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1313.07","1463.324","1788.821","1848.125","1817.818"
"IMF.RES:WEO(6.0.0)","MRT.GGXCNL_NGDP.A","OBS_VALUE","Mauritania, Islamic Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","2.598","-3.095","-2.466","-1.184","-1.155"
"IMF.RES:WEO(6.0.0)","MLT.NGDPD.A","OBS_VALUE","Malta","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","19.732","19.225","22.335","24.397","26.262"
"IMF.RES:WEO(6.0.0)","MRT.NGDPD.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","9.126","9.564","10.649","10.761","11.08"
"IMF.RES:WEO(6.0.0)","MEX.GGXCNL_NGDP.A","OBS_VALUE","Mexico","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.757","-4.271","-4.311","-5.9","-3.5"
"IMF.RES:WEO(6.0.0)","MHL.GGXCNL_NGDP.A","OBS_VALUE","Marshall Islands, Republic of the","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","0.181","0.681","0.688","0.253","2.711"
"IMF.RES:WEO(6.0.0)","MHL.NGDPD.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.259","0.253","0.259","0.279","0.294"
"IMF.RES:WEO(6.0.0)","MLT.GGXCNL_NGDP.A","OBS_VALUE","Malta","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.993","-5.288","-4.604","-3.987","-3.579"
"IMF.RES:WEO(6.0.0)","MLI.GGXCNL_NGDP.A","OBS_VALUE","Mali","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.797","-5.008","-3.9","-3.6","-3.3"
"IMF.RES:WEO(6.0.0)","MNG.NGDPD.A","OBS_VALUE","Mongolia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","15.286","17.146","20.315","23.669","27.242"
"IMF.RES:WEO(6.0.0)","MNG.GGXCNL_NGDP.A","OBS_VALUE","Mongolia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","7.75","0.672","2.732","0.398","-0.983"
"IMF.RES:WEO(6.0.0)","MNE.NGDPD.A","OBS_VALUE","Montenegro","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","5.865","6.243","7.406","8.11","8.849"
"IMF.RES:WEO(6.0.0)","MUS.GGXCNL_NGDP.A","OBS_VALUE","Mauritius","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-4.069","-3.097","-4.149","-2.889","-2.941"
"IMF.RES:WEO(6.0.0)","MDA.GGXCNL_NGDP.A","OBS_VALUE","Moldova, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.617","-3.227","-5.184","-5.042","-3.8"
"IMF.RES:WEO(6.0.0)","MUS.NGDPD.A","OBS_VALUE","Mauritius","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","11.484","12.928","14.557","15.89","16.515"
"IMF.RES:WEO(6.0.0)","FSM.NGDPD.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.39","0.43","0.46","0.484","0.507"
"IMF.RES:WEO(6.0.0)","MNE.GGXCNL_NGDP.A","OBS_VALUE","Montenegro","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.708","-4.082","0.758","-3.062","-4.469"
"IMF.RES:WEO(6.0.0)","MAR.NGDPD.A","OBS_VALUE","Morocco","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","142.022","130.952","144.438","157.087","168.597"
"IMF.RES:WEO(6.0.0)","MOZ.GGXCNL_NGDP.A","OBS_VALUE","Mozambique, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.881","-5.106","-4.11","-4.247","-1.995"
"IMF.RES:WEO(6.0.0)","MMR.NGDPD.A","OBS_VALUE","Myanmar","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","68.054","61.766","64.505","64.284","65.009"
"IMF.RES:WEO(6.0.0)","FSM.GGXCNL_NGDP.A","OBS_VALUE","Micronesia, Federated States of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","4.461","7.798","1.571","1.266","-0.402"
"IMF.RES:WEO(6.0.0)","MOZ.NGDPD.A","OBS_VALUE","Mozambique, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","16.168","18.884","20.958","22.495","24.545"
"IMF.RES:WEO(6.0.0)","MDA.NGDPD.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","13.694","14.55","16.576","18.062","19.649"
"IMF.RES:WEO(6.0.0)","MAR.GGXCNL_NGDP.A","OBS_VALUE","Morocco","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.977","-5.378","-4.404","-4.273","-3.764"
"IMF.RES:WEO(6.0.0)","NLD.NGDPD.A","OBS_VALUE","Netherlands, The","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1055.173","1047.364","1154.694","1218.401","1272.96"
"IMF.RES:WEO(6.0.0)","MMR.GGXCNL_NGDP.A","OBS_VALUE","Myanmar","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.988","-4.559","-5.721","-5.79","-6.108"
"IMF.RES:WEO(6.0.0)","NPL.NGDPD.A","OBS_VALUE","Nepal","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","36.927","41.183","40.907","43.673","47.826"
"IMF.RES:WEO(6.0.0)","NRU.GGXCNL_NGDP.A","OBS_VALUE","Nauru, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","44.486","23.552","19.046","30.187","2.032"
"IMF.RES:WEO(6.0.0)","NAM.NGDPD.A","OBS_VALUE","Namibia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","12.399","12.562","12.345","13.185","14.364"
"IMF.RES:WEO(6.0.0)","NRU.NGDPD.A","OBS_VALUE","Nauru, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.176","0.157","0.154","0.16","0.179"
"IMF.RES:WEO(6.0.0)","NAM.GGXCNL_NGDP.A","OBS_VALUE","Namibia","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-8.752","-6.051","-3.106","-2.644","-4.07"
"IMF.RES:WEO(6.0.0)","NIC.GGXCNL_NGDP.A","OBS_VALUE","Nicaragua","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-1.263","0.788","2.494","0.301","-0.039"
"IMF.RES:WEO(6.0.0)","NER.NGDPD.A","OBS_VALUE","Niger","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.923","15.458","16.809","19.599","21.907"
"IMF.RES:WEO(6.0.0)","NGA.GGXCNL_NGDP.A","OBS_VALUE","Nigeria","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.481","-5.422","-4.16","-4.551","-4.19"
"IMF.RES:WEO(6.0.0)","NER.GGXCNL_NGDP.A","OBS_VALUE","Niger","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-6.099","-6.772","-5.374","-4.064","-2.999"
"IMF.RES:WEO(6.0.0)","NZL.NGDPD.A","OBS_VALUE","New Zealand","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","249.711","242.575","248.687","252.236","262.924"
"IMF.RES:WEO(6.0.0)","NPL.GGXCNL_NGDP.A","OBS_VALUE","Nepal","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.979","-3.123","-5.834","-4.685","-4.141"
"IMF.RES:WEO(6.0.0)","NLD.GGXCNL_NGDP.A","OBS_VALUE","Netherlands, The","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-2.198","-0.071","-0.358","-1.553","-2.56"
"IMF.RES:WEO(6.0.0)","NIC.NGDPD.A","OBS_VALUE","Nicaragua","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.145","15.671","17.843","19.412","20.956"
"IMF.RES:WEO(6.0.0)","NZL.GGXCNL_NGDP.A","OBS_VALUE","New Zealand","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.237","-3.511","-3.333","-3.845","-3.493"
"IMF.RES:WEO(6.0.0)","OMN.NGDPD.A","OBS_VALUE","Oman","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","87.323","111.944","108.811","109.993","111.306"
"IMF.RES:WEO(6.0.0)","OMN.GGXCNL_NGDP.A","OBS_VALUE","Oman","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-3.166","10.325","6.69","5.015","2.475"
"IMF.RES:WEO(6.0.0)","MKD.NGDPD.A","OBS_VALUE","North Macedonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","14.008","13.735","14.769","15.861","17.09"
"IMF.RES:WEO(6.0.0)","NOR.NGDPD.A","OBS_VALUE","Norway","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","503.368","593.727","485.311","503.752","506.466"
"IMF.RES:WEO(6.0.0)","NGA.NGDPD.A","OBS_VALUE","Nigeria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","441.632","476.468","363.816","199.721","194.955"
"IMF.RES:WEO(6.0.0)","NOR.GGXCNL_NGDP.A","OBS_VALUE","Norway","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","10.332","25.409","16.443","11.983","10.968"
"IMF.RES:WEO(6.0.0)","MKD.GGXCNL_NGDP.A","OBS_VALUE","North Macedonia, Republic of","Net lending (+) / net borrowing (-), General government, Percent of GDP","Annual","Units","-5.317","-5.328","-4.928","-4.985","-4.479"
"IMF.RES:WEO(6.0.0)","PAN.NGDPD.A","OBS_VALUE","Panama","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","67.407","76.523","83.382","87.347","91.731"
